"代號","名稱","成交","漲跌幅","3日累計漲跌(%)","5日累計漲跌(%)","10日累計漲跌(%)","一個月累計漲跌(%)","三個月累計漲跌(%)","半年累計漲跌(%)","3日最高股價","5日最高股價","10日最高股價","一個月最高股價","三個月最高股價","半年最高股價","一年最高股價","3日最低股價","5日最低股價","10日最低股價","一個月最低股價","三個月最低股價","半年最低股價","一年最低股價","三大法人3日累計買賣超佔成交(%)","三大法人5日累計買賣超佔成交(%)","券資比3日增減","券資比5日增減","12/24成交量(張)","12/23成交量(張)"
="0050","元大台灣50","143.05","+0.28","+0.85","+0.81","+0.77","+1.81","+2.43","+4.45","143.6","143.6","143.6","143.6","143.6","143.6","143.6","141.65","140.3","139.7","137.5","130.9","130.2","118.6","+75.7","+46.2","+4.47","+3.71","12,808","14,117"
="0056","元大高股息","33.29","-0.15","-0.21","-0.42","-0.03","+2.09","-0.03","-4.17","33.46","33.46","33.47","33.47","33.47","36.05","36.17","33.28","33.2","32.85","31.96","30.59","30.59","29.48","+20.7","-7.1","+0.64","-0.31","9,654","6,096"
="006208","富邦台50","80.45","+0.06","+0.75","+0.63","+0.56","+1.51","+0.31","+1.96","80.85","80.85","80.85","80.85","81.15","82.35","82.35","79.85","79.15","78.75","77.6","75.45","74.8","66.7","+34.4","+10.4","0","0","2,495","1,944"
"00631L","元大台灣50正2","141.7","+0.32","+1.61","+2.09","+1.76","+3.92","+8.46","+10.1","142.9","142.9","142.9","142.9","142.9","142.9","142.9","139","135.85","134.55","129.5","114.4","114.4","84.8","+30.3","+22.6","+12.6","+13.4","1,544","2,017"
"00638R","元大滬深300反1","8","-1.11","-0.74","0","+2.7","-1.96","-6.32","+4.71","8.1","8.12","8.12","8.34","8.67","8.92","8.92","7.95","7.95","7.62","7.62","7.62","7.58","6.7","+9.35","+8.23","+0.45","+0.39","1,402","1,797"
"00642U","期元大S&P石油","12.94","+0.23","+5.2","+2.45","+3.35","-6.91","+2.05","+3.44","13.01","13.01","13.01","13.89","14.75","14.75","14.75","12.6","12.11","12.11","11.61","11.61","10.86","8.19","+77","+30.6","+1.18","+3.54","7,679","11,260"
"00669R","國泰美國道瓊反1","7.6","-0.13","-1.81","-0.26","-0.52","-0.78","-4.04","-6.06","7.69","7.79","7.79","7.99","8.17","8.17","9.45","7.58","7.58","7.54","7.54","7.54","7.54","7.54","+26.4","+26.7","+0.05","+0.05","1,040","1,195"
"00670L","富邦NASDAQ正2","125.4","+1.29","+6.18","+5.47","+1.13","-0.67","+12.4","+26.2","125.4","125.4","127.85","128.5","131.65","131.65","131.65","119.9","115.4","115.4","115.4","99.75","98.95","74.45","+1.72","-30.5","-0.12","-0.48","712","724"
="00692","富邦公司治理","35.35","+0.14","+0.65","+0.57","+0.48","+1.41","-1.45","-0.03","35.5","35.5","35.5","35.5","36.78","36.78","36.78","35.07","34.79","34.66","34.07","33.82","33.51","29.45","+38.9","+13.4","0","0","2,669","2,960"
="00712","FH富時不動產","13.42","+0.68","+3.87","+0.3","-3.59","-5.02","-4.42","-8.71","13.43","13.43","13.88","14.25","14.59","14.75","15.21","13.08","12.85","12.85","12.85","12.85","12.85","12.29","-57.1","-72.4","+0.88","+0.88","3,886","5,488"
="00713","元大台灣高息低波","42.42","+0.12","+0.38","+0.38","-0.12","+0.09","-4.03","-0.82","42.45","42.45","42.62","42.62","46.35","46.35","46.35","42.18","42","42","41.22","41.22","41.22","34.2","+19.3","+0.1","0","0","1,302","1,134"
="00731","FH富時高息低波","58.55","+0.34","+0.52","+0.26","0","+0.26","-3.46","+2.09","58.7","58.7","58.95","58.95","64.8","64.8","64.8","58.2","57.85","57.85","56.7","56.7","56.6","47.54","+4.42","-0.74","0","0","1,138","1,151"
"00734B","台新JPM新興債","19.28","-0.36","-0.46","-0.41","-0.1","+0.68","-2.18","-1.63","19.38","19.43","19.48","19.48","19.64","19.94","21.09","19.28","19.28","19.26","19.01","19.01","19.01","19.01","+0.6","+1.25","","","1,003","1,003"
="00757","統一FANG+","50.85","+0.79","+3.67","+2.03","-0.97","-4.33","+2.58","+3.12","51.1","51.1","51.7","53.65","55.2","55.2","55.2","49.79","48.8","48.8","48.8","46.9","46.9","42.85","-41.7","-69.8","-0.48","-0.09","1,730","1,625"
="00830","國泰費城半導體","34.5","+0.97","+3.36","+3.63","+0.7","+1.98","+14","+20.3","34.51","34.51","34.75","35.15","35.15","35.15","35.15","33.81","32.81","32.81","32.81","28.11","27.87","24.62","-4.62","-38.5","+0.42","-1.18","508","1,062"
="00850","元大臺灣ESG永續","35.4","-0.06","+0.51","+0.74","+0.25","+1.52","+0.85","+2.94","35.55","35.55","35.55","35.6","36.32","36.32","36.32","35.16","34.79","34.7","34","33.28","33.08","28.34","-5.86","-16.3","0","0","929","2,044"
="00876","元大未來關鍵科技","33.08","+0.49","+2.48","+2.16","+0.95","+1.75","+9.57","+13.8","33.14","33.14","33.14","33.16","33.24","33.24","33.24","32.5","31.92","31.92","31.81","27.93","27.93","25.61","+26","+4.13","+0.8","+0.44","1,091","1,109"
="00877","FH中國5G","14.19","+0.35","+4.26","+2.6","+2.45","+3.12","+15.5","+7.42","14.26","14.26","14.26","14.26","14.26","14.26","14.85","13.7","13.46","13.46","13.16","11.83","11.81","10.93","+70.5","+57","+0.03","+0.09","2,607","2,399"
="00878","國泰永續高股息","18.94","+0.16","+0.53","+0.42","+0.53","+1.45","+3.22","+3.78","18.99","18.99","18.99","18.99","18.99","18.99","19.28","18.85","18.71","18.66","18.25","17.77","17.35","15.88","+11.7","-19.1","-0.16","-0.46","7,230","8,839"
="00881","國泰台灣5G+","18.6","+0.32","+1.31","+1.58","+1.47","+2.99","+5.98","+5.62","18.68","18.68","18.68","18.68","18.68","18.68","18.9","18.37","18.1","18.04","17.61","16.38","16.38","14.93","+75.2","+54.5","+1.72","+1.61","19,873","21,587"
"01010T","京城樂富R1","10.31","0","-0.29","0","+0.1","+0.19","-3.28","-5.06","10.35","10.35","10.36","10.44","10.68","10.94","11.48","10.29","10.18","10.18","10.18","10.14","10.14","10.14","","+0.04","","","10","9,114"
="020022","元大電動車N","5.66","+0.18","+0.71","0","+0.89","+2.72","+9.06","-2.41","5.69","5.69","5.69","5.69","5.69","5.92","6.87","5.6","5.57","5.5","5.31","4.9","4.9","4.9","+58.8","+71.5","","","1,657","1,612"
="1101","台泥","47.9","+0.42","+1.38","+0.95","+1.27","+0.95","-6.63","-6.08","47.95","47.95","47.95","47.95","51.4","54.5","58.7","47.2","47.1","46.8","45.95","45.95","45.65","40.15","+9.66","+10.5","+0.05","-0.12","6,034","9,419"
="1102","亞泥","44.25","-0.11","+1.14","+3.03","+1.84","+2.08","-4.74","-12.5","44.4","44.4","44.4","44.4","46.55","53.6","54.3","43.85","43.25","42.6","42","42","42","40","+25.6","+39.3","+0.55","+0.53","2,659","10,764"
="1216","統一","68.5","+0.29","+0.88","+0.88","-0.58","+1.48","-0.87","-6.8","68.5","68.5","69","69","70","76","76.9","67.7","67.5","67.5","65.4","65.4","65.4","64.2","-5.78","-16.8","+0.05","+0.1","1,501","2,429"
="1227","佳格","52.9","-0.75","-1.67","-0.56","+2.52","+2.52","+2.52","-2.76","54","54.4","54.4","54.4","54.4","55.4","61.5","52.8","52.8","51.6","51","50.7","50.7","50.7","+3.79","+29.2","+0.08","+0.08","1,160","666"
